,name_x,name_y,surname_x,surname_y,n_sur,gender,party,state,region,age_years,generation,cmltv_cong,cmltv_chamber,exper_cong,exper_chamber
36,JEFF MERKLEY,JEFF MERKLEY,MERKLEY,MERKLEY,J_MERKLEY,M,D,OR,West,58.19301848,Boomers,4,4,"(1, 10]","(1, 5]"
37,JEFFERSON SESSIONS,JEFFERSON SESSIONS,SESSIONS,SESSIONS,J_SESSIONS,M,R,AL,Southeast,68.02737851,Boomers,10,10,"(1, 10]","(5, 100]"
38,JERRY MORAN,JERRY MORAN,MORAN,MORAN,J_MORAN,M,R,KS,Midwest,60.59958932,Boomers,10,3,"(1, 10]","(1, 5]"
39,JOE DONNELLY,JOE DONNELLY,DONNELLY,DONNELLY,J_DONNELLY,M,D,IN,Midwest,59.26351814,Boomers,5,2,"(1, 10]","(1, 5]"
40,JOE MANCHIN,JOE MANCHIN,MANCHIN,MANCHIN,J_MANCHIN,M,D,WV,Southeast,67.36208077,Boomers,4,4,"(1, 10]","(1, 5]"
41,JOHN BARRASSO,JOHN BARRASSO,BARRASSO,BARRASSO,J_BARRASSO,M,R,WY,West,62.45311431,Boomers,5,5,"(1, 10]","(1, 5]"
42,JOHN BOOZMAN,JOHN BOOZMAN,BOOZMAN,BOOZMAN,J_BOOZMAN,M,R,AR,South,64.06570842,Boomers,8,3,"(1, 10]","(1, 5]"
43,JOHN CORNYN,JOHN CORNYN,CORNYN,CORNYN,J_CORNYN,M,R,TX,South,62.91854894,Boomers,8,8,"(1, 10]","(5, 100]"
44,JOHN HOEVEN,JOHN HOEVEN,HOEVEN,HOEVEN,J_HOEVEN,M,R,ND,Midwest,57.80971937,Boomers,3,3,"(1, 10]","(1, 5]"
45,JOHN ISAKSON,JOHNNY ISAKSON,ISAKSON,ISAKSON,J_ISAKSON,M,R,GA,Southeast,70.01505818,Silent,9,6,"(1, 10]","(5, 100]"
46,JOHN MCCAIN,JOHN MCCAIN,MCCAIN,MCCAIN,J_MCCAIN,M,R,AZ,West,78.34633812,Silent,17,15,"(10, 100]","(5, 100]"
47,JOHN REED,JOHN REED,REED,REED,J_REED,M,D,RI,Northeast,65.14168378,Boomers,13,10,"(10, 100]","(5, 100]"
48,JOHN THUNE,JOHN THUNE,THUNE,THUNE,J_THUNE,M,R,SD,Midwest,53.98767967,Boomers,9,6,"(1, 10]","(5, 100]"
