"","id2","id1","name_1","name_2","PARTY","STATE","CHAMBER","FRESHMAN.","RELIGION","tier"
"85",86,35,"Jeanne Shaheen (D)","Jeanne Shaheen","Democrat","New Hampshire","Senate","No","Unspecified/Other (Protestant)","all"
"86",87,78,"Richard Shelby (R)","Richard C. Shelby","Republican","Alabama","Senate","No","Presbyterian","all"
"87",88,26,"Debbie Stabenow (D)","Debbie Stabenow","Democrat","Michigan","Senate","No","Methodist","all"
"88",89,20,"Dan Sullivan (R)","Dan Sullivan","Republican","Alaska","Senate","Yes","Catholic","all"
"89",90,50,"Jon Tester (D)","Jon Tester","Democrat","Montana","Senate","No","Unspecified/Other (Protestant)","all"
"90",91,49,"John Thune (R)","John Thune","Republican","South Dakota","Senate","No","Unspecified/Other (Protestant)","all"
"91",92,94,"Thom Tillis (R)","Thom Tillis","Republican","North Carolina","Senate","Yes","Catholic","all"
"92",93,72,"Patrick Toomey (R)","Patrick J. Toomey","Republican","Pennsylvania","Senate","No","Catholic","all"
"93",94,99,"Tom Udall (D)","Tom Udall","Democrat","New Mexico","Senate","No","Mormon","all"
"94",95,23,"David Vitter (R)","David Vitter","Republican","Louisiana","Senate","No","Catholic","all"
"95",96,60,"Mark Warner (D)","Mark Warner","Democrat","Virginia","Senate","No","Presbyterian","all"
"96",97,29,"Elizabeth Warren (D)","Elizabeth Warren","Democrat","Massachusetts","Senate","No","Methodist","all"
"97",98,86,"Sheldon Whitehouse (D)","Sheldon Whitehouse","Democrat","Rhode Island","Senate","No","Anglican/Episcopal","all"
"98",99,82,"Roger Wicker (R)","Roger Wicker","Republican","Mississippi","Senate","No","Baptist","all"
"99",100,84,"Ron Wyden (D)","Ron Wyden","Democrat","Oregon","Senate","No","Jewish","all"
